fromRegionID,fromConstellationID,fromSolarSystemID,toSolarSystemID,toConstellationID,toRegionID
10000001,20000001,30000001,30000003,20000001,10000001
10000001,20000001,30000001,30000005,20000001,10000001
10000001,20000001,30000001,30000007,20000001,10000001
10000001,20000001,30000002,30000005,20000001,10000001
10000001,20000001,30000002,30002973,20000435,10000036
10000001,20000001,30000003,30000001,20000001,10000001
10000001,20000001,30000003,30000007,20000001,10000001
10000001,20000001,30000003,30000052,20000008,10000001
10000001,20000001,30000003,30000084,20000012,10000001
10000001,20000001,30000004,30000005,20000001,10000001
10000001,20000001,30000004,30002509,20000367,10000030
10000001,20000001,30000005,30000001,20000001,10000001
10000001,20000001,30000005,30000002,20000001,10000001
10000001,20000001,30000005,30000004,20000001,10000001
10000001,20000001,30000005,30000032,20000005,10000001
10000001,20000001,30000006,30000008,20000001,10000001
10000001,20000001,30000006,30000023,20000004,10000001
10000001,20000001,30000007,30000001,20000001,10000001
10000001,20000001,30000007,30000003,20000001,10000001
10000001,20000001,30000007,30000008,20000001,10000001
10000001,20000001,30000008,30000006,20000001,10000001
10000001,20000001,30000008,30000007,20000001,10000001
10000001,20000001,30000008,30000057,20000009,10000001
10000001,20000001,30000008,30000076,20000011,10000001
10000001,20000002,30000009,30000010,20000002,10000001
10000001,20000002,30000010,30000009,20000002,10000001
10000001,20000002,30000010,30000011,20000002,10000001
10000001,20000002,30000010,30000013,20000002,10000001
10000001,20000002,30000011,30000010,20000002,10000001
10000001,20000002,30000011,30000038,20000006,10000001
10000001,20000002,30000012,30000013,20000002,10000001
10000001,20000002,30000012,30000073,20000010,10000001
10000001,20000002,30000013,30000010,20000002,10000001
10000001,20000002,30000013,30000012,20000002,10000001
10000001,20000002,30000013,30000014,20000002,10000001
10000001,20000002,30000013,30000015,20000002,10000001
10000001,20000002,30000013,30000016,20000002,10000001
10000001,20000002,30000014,30000013,20000002,10000001
10000001,20000002,30000014,30000090,20000013,10000001
10000001,20000002,30000014,30000098,20000014,10000001
10000001,20000002,30000015,30000013,20000002,10000001
10000001,20000002,30000015,30000018,20000003,10000001
10000001,20000002,30000015,30000046,20000007,10000001
10000001,20000002,30000015,30001047,20000153,10000012
10000001,20000002,30000016,30000013,20000002,10000001
10000001,20000003,30000017,30000018,20000003,10000001
10000001,20000003,30000017,30000020,20000003,10000001
10000001,20000003,30000017,30000022,20000003,10000001
10000001,20000003,30000018,30000015,20000002,10000001
10000001,20000003,30000018,30000017,20000003,10000001
10000001,20000003,30000019,30000022,20000003,10000001
10000001,20000003,30000020,30000017,20000003,10000001
10000070,20000788,30000021,30002770,20000788,10000070
10000070,20000788,30000021,30045328,20000788,10000070
10000001,20000003,30000022,30000017,20000003,10000001
10000001,20000003,30000022,30000019,20000003,10000001
10000001,20000004,30000023,30000006,20000001,10000001
10000001,20000004,30000023,30000024,20000004,10000001
10000001,20000004,30000023,30000030,20000004,10000001
10000001,20000004,30000024,30000023,20000004,10000001
10000001,20000004,30000024,30000025,20000004,10000001
10000001,20000004,30000024,30000027,20000004,10000001
10000001,20000004,30000024,30000028,20000004,10000001
10000001,20000004,30000025,30000024,20000004,10000001
10000001,20000004,30000025,30000026,20000004,10000001
10000001,20000004,30000025,30000027,20000004,10000001
10000001,20000004,30000025,30000028,20000004,10000001
10000001,20000004,30000026,30000025,20000004,10000001
10000001,20000004,30000026,30000028,20000004,10000001
10000001,20000004,30000026,30000029,20000004,10000001
10000001,20000004,30000026,30000030,20000004,10000001
10000001,20000004,30000027,30000024,20000004,10000001
10000001,20000004,30000027,30000025,20000004,10000001
10000001,20000004,30000027,30000028,20000004,10000001
10000001,20000004,30000028,30000024,20000004,10000001
10000001,20000004,30000028,30000025,20000004,10000001
10000001,20000004,30000028,30000026,20000004,10000001
10000001,20000004,30000028,30000027,20000004,10000001
10000001,20000004,30000028,30000064,20000009,10000001
10000001,20000004,30000029,30000026,20000004,10000001
10000001,20000004,30000029,30000030,20000004,10000001
10000001,20000004,30000030,30000023,20000004,10000001
10000001,20000004,30000030,30000026,20000004,10000001
10000001,20000004,30000030,30000029,20000004,10000001
10000001,20000004,30000030,30000112,20000016,10000001
10000001,20000005,30000031,30000033,20000005,10000001
10000001,20000005,30000031,30000035,20000005,10000001
10000001,20000005,30000032,30000005,20000001,10000001
10000001,20000005,30000032,30000033,20000005,10000001
10000001,20000005,30000032,30000034,20000005,10000001
10000001,20000005,30000033,30000031,20000005,10000001
10000001,20000005,30000033,30000032,20000005,10000001
10000001,20000005,30000034,30000032,20000005,10000001
10000001,20000005,30000035,30000031,20000005,10000001
10000001,20000005,30000035,30000036,20000005,10000001
10000001,20000005,30000035,30000114,20000016,10000001
10000001,20000005,30000036,30000035,20000005,10000001
10000001,20000005,30000036,30000037,20000005,10000001
10000001,20000005,30000037,30000036,20000005,10000001
10000001,20000005,30000037,30002508,20000367,10000030
10000001,20000006,30000038,30000011,20000002,10000001
10000001,20000006,30000038,30000039,20000006,10000001
10000001,20000006,30000038,30000040,20000006,10000001
10000001,20000006,30000038,30000043,20000006,10000001
10000001,20000006,30000039,30000038,20000006,10000001
10000001,20000006,30000039,30000040,20000006,10000001
10000001,20000006,30000039,30000041,20000006,10000001
10000001,20000006,30000040,30000038,20000006,10000001
10000001,20000006,30000040,30000039,20000006,10000001
10000001,20000006,30000040,30000043,20000006,10000001
10000001,20000006,30000041,30000039,20000006,10000001
10000001,20000006,30000041,30000042,20000006,10000001
10000001,20000006,30000042,30000041,20000006,10000001
10000001,20000006,30000043,30000038,20000006,10000001
10000001,20000006,30000043,30000040,20000006,10000001
10000001,20000006,30000043,30000100,20000014,10000001
10000001,20000007,30000044,30000045,20000007,10000001
10000001,20000007,30000044,30000046,20000007,10000001
10000001,20000007,30000045,30000044,20000007,10000001
10000001,20000007,30000045,30000046,20000007,10000001
10000001,20000007,30000045,30000048,20000007,10000001
10000001,20000007,30000045,30000049,20000007,10000001
10000001,20000007,30000046,30000015,20000002,10000001
10000001,20000007,30000046,30000044,20000007,10000001
10000001,20000007,30000046,30000045,20000007,10000001
10000001,20000007,30000046,30000047,20000007,10000001
10000001,20000007,30000046,30000048,20000007,10000001
10000001,20000007,30000047,30000046,20000007,10000001
10000001,20000007,30000047,30000050,20000007,10000001
10000001,20000007,30000048,30000045,20000007,10000001
10000001,20000007,30000048,30000046,20000007,10000001
10000001,20000007,30000048,30000106,20000015,10000001
10000001,20000007,30000049,30000045,20000007,10000001
10000001,20000007,30000050,30000047,20000007,10000001
10000001,20000008,30000051,30000052,20000008,10000001
10000001,20000008,30000051,30000053,20000008,10000001
10000001,20000008,30000051,30000056,20000008,10000001
10000001,20000008,30000051,30000109,20000015,10000001
10000001,20000008,30000052,30000003,20000001,10000001
10000001,20000008,30000052,30000051,20000008,10000001
10000001,20000008,30000052,30000053,20000008,10000001
10000001,20000008,30000052,30000054,20000008,10000001
10000001,20000008,30000052,30000055,20000008,10000001
10000001,20000008,30000053,30000051,20000008,10000001
10000001,20000008,30000053,30000052,20000008,10000001
10000001,20000008,30000054,30000052,20000008,10000001
10000001,20000008,30000054,30000055,20000008,10000001
10000001,20000008,30000055,30000052,20000008,10000001
10000001,20000008,30000055,30000054,20000008,10000001
10000001,20000008,30000056,30000051,20000008,10000001
10000001,20000009,30000057,30000008,20000001,10000001
10000001,20000009,30000057,30000058,20000009,10000001
10000001,20000009,30000057,30000061,20000009,10000001
10000001,20000009,30000057,30000068,20000009,10000001
10000001,20000009,30000058,30000057,20000009,10000001
10000001,20000009,30000058,30000059,20000009,10000001
10000001,20000009,30000058,30000068,20000009,10000001
10000001,20000009,30000058,30000105,20000014,10000001
10000001,20000009,30000059,30000058,20000009,10000001
